wine_type,wine_category,food_item,food_category,cuisine,description,quality_label,target_bin,split
Cabernet Sauvignon,Red,cheese platter,Cheese,Chinese (Sichuan),Heuristic pairing assessment.,Neutral,0,train
Pinot Noir,Red,beef stew,Red Meat,Indian,Heuristic pairing assessment.,Poor,0,train
Viognier,White,cheese platter,Cheese,Argentinian,Idealized perfect pairing example for contrast.,Excellent,1,train
Sauternes,Dessert,oysters,Seafood,Ethiopian,Tannic reds clash with delicate seafood.,Poor,0,train
Grenache,Red,roast lamb,Red Meat,Korean,Delicate wine overwhelmed by red meat.,Poor,0,train
Sauvignon Blanc,White,chocolate mousse,Dessert,Vietnamese,Deliberately bad pairing example for contrast.,Terrible,0,train
Sauternes,Dessert,cheesecake,Dessert,Japanese,Deliberately bad pairing example for contrast.,Terrible,0,train
Albariño,White,cheesecake,Dessert,Chinese (Sichuan),Idealized perfect pairing example for contrast.,Excellent,1,train
Sauternes,Dessert,mushroom risotto,Vegetarian,Middle Eastern,Idealized perfect pairing example for contrast.,Excellent,1,train
Grenache,Red,beef stew,Red Meat,Mexican,Heuristic pairing assessment.,Poor,0,train
Malbec,Red,fondue,Cheese,American BBQ,Heuristic pairing assessment.,Neutral,0,train
Sauternes,Dessert,beef stew,Red Meat,Spanish,Heuristic pairing assessment.,Good,1,train
Ice Wine,Dessert,stir-fried tofu,Vegetarian,Vietnamese,Deliberately bad pairing example for contrast.,Terrible,0,train
Sauvignon Blanc,White,fondue,Cheese,French,Heuristic pairing assessment.,Good,1,train
Sauvignon Blanc,White,grilled ribeye,Red Meat,Thai,Heuristic pairing assessment.,Neutral,0,train
Zinfandel,Red,fondue,Cheese,Vietnamese,Heuristic pairing assessment.,Poor,0,train
Port,Fortified,citrus salad,Acidic,Moroccan,Low-acid wine seems flabby vs acids.,Poor,0,train
Chenin Blanc,White,cheese platter,Cheese,Vietnamese,Heuristic pairing assessment.,Good,1,train
White Zinfandel,Rosé,grilled ribeye,Red Meat,American BBQ,Heuristic pairing assessment.,Neutral,0,train
Sangiovese,Red,stir-fried tofu,Vegetarian,American BBQ,Deliberately bad pairing example for contrast.,Terrible,0,train
Ice Wine,Dessert,roast lamb,Red Meat,Mexican,Delicate wine overwhelmed by red meat.,Terrible,0,train
Champagne,Sparkling,citrus salad,Acidic,Argentinian,Acidic wine balances acidic food.,Good,1,train
Grüner Veltliner,White,lemon tart,Dessert,German,Deliberately bad pairing example for contrast.,Terrible,0,train
Syrah/Shiraz,Red,cheese platter,Cheese,German,Heuristic pairing assessment.,Poor,0,train
Viognier,White,roast lamb,Red Meat,Argentinian,Delicate wine overwhelmed by red meat.,Terrible,0,train
Champagne,Sparkling,grilled salmon,Seafood,Chinese (Sichuan),Deliberately bad pairing example for contrast.,Terrible,0,train
Merlot,Red,citrus salad,Acidic,American BBQ,Acidic wine balances acidic food.,Good,1,train
Chardonnay,White,grilled ribeye,Red Meat,Middle Eastern,Heuristic pairing assessment.,Neutral,0,train
Albariño,White,fondue,Cheese,Moroccan,Heuristic pairing assessment.,Poor,0,train
Sangiovese,Red,chicken curry,Poultry,Ethiopian,Idealized perfect pairing example for contrast.,Excellent,1,train
Nebbiolo,Red,grilled salmon,Seafood,Moroccan,Tannic reds clash with delicate seafood.,Neutral,0,train
Gamay (Beaujolais),Red,grilled ribeye,Red Meat,Greek,Heuristic pairing assessment.,Neutral,0,train
Gewürztraminer,White,Sichuan noodles,Spicy,Greek,Idealized perfect pairing example for contrast.,Excellent,1,train
Pinot Noir,Red,mushroom risotto,Vegetarian,Mexican,Idealized perfect pairing example for contrast.,Excellent,1,train
Malbec,Red,caprese salad,Acidic,Mexican,Heuristic pairing assessment.,Neutral,0,train
Ice Wine,Dessert,sorbet,Dessert,Spanish,Deliberately bad pairing example for contrast.,Terrible,0,train
Viognier,White,fondue,Cheese,Indian,Idealized perfect pairing example for contrast.,Excellent,1,train
Provence Rosé,Rosé,mac and cheese,Cheese,Middle Eastern,Idealized perfect pairing example for contrast.,Excellent,1,train
Syrah/Shiraz,Red,beef stew,Red Meat,Middle Eastern,Heuristic pairing assessment.,Poor,0,train
Riesling (dry),White,fondue,Cheese,Greek,Heuristic pairing assessment.,Neutral,0,train
Nebbiolo,Red,cream of mushroom soup,Creamy,American BBQ,Too lean for creamy dish.,Terrible,0,train
Sauvignon Blanc,White,gazpacho,Acidic,French,Acidic wine balances acidic food.,Excellent,1,train
Nebbiolo,Red,bbq brisket,Red Meat,Thai,Deliberately bad pairing example for contrast.,Terrible,0,train
Ice Wine,Dessert,roast lamb,Red Meat,Moroccan,Delicate wine overwhelmed by red meat.,Terrible,0,train
Torrontés,White,mac and cheese,Cheese,Chinese (Sichuan),Heuristic pairing assessment.,Neutral,0,train
Viognier,White,roast lamb,Red Meat,Spanish,Deliberately bad pairing example for contrast.,Terrible,0,train
Grüner Veltliner,White,lemon tart,Dessert,Greek,Idealized perfect pairing example for contrast.,Excellent,1,train
Provence Rosé,Rosé,cheese platter,Cheese,Korean,Heuristic pairing assessment.,Neutral,0,train
Sauvignon Blanc,White,carbonara,Creamy,Mexican,Too lean for creamy dish.,Neutral,0,train
Nebbiolo,Red,alfredo pasta,Creamy,Moroccan,Too lean for creamy dish.,Neutral,0,train
Gamay (Beaujolais),Red,bbq brisket,Red Meat,Italian,Delicate wine overwhelmed by red meat.,Poor,0,train
Chardonnay,White,beef stew,Red Meat,Spanish,Heuristic pairing assessment.,Neutral,0,train
Sauvignon Blanc,White,cream of mushroom soup,Creamy,German,Too lean for creamy dish.,Poor,0,train
Zinfandel,Red,cheese platter,Cheese,American BBQ,Heuristic pairing assessment.,Neutral,0,train
Grenache,Red,mac and cheese,Cheese,German,Deliberately bad pairing example for contrast.,Terrible,0,train
Provence Rosé,Rosé,fondue,Cheese,French,Heuristic pairing assessment.,Good,1,train
Cava,Sparkling,shrimp scampi,Seafood,Korean,Crisp acidity suits seafood.,Excellent,1,train
Grüner Veltliner,White,roast lamb,Red Meat,American BBQ,Delicate wine overwhelmed by red meat.,Terrible,0,train
Merlot,Red,fondue,Cheese,American BBQ,Heuristic pairing assessment.,Neutral,0,train
Viognier,White,duck à l’orange,Poultry,French,Deliberately bad pairing example for contrast.,Terrible,0,train
Grüner Veltliner,White,mac and cheese,Cheese,American BBQ,Heuristic pairing assessment.,Poor,0,train
Gamay (Beaujolais),Red,fondue,Cheese,German,Heuristic pairing assessment.,Good,1,train
Cabernet Sauvignon,Red,bbq brisket,Red Meat,Moroccan,Deliberately bad pairing example for contrast.,Terrible,0,train
Viognier,White,fondue,Cheese,Spanish,Idealized perfect pairing example for contrast.,Excellent,1,train
Cabernet Sauvignon,Red,smoked sausage,Smoky BBQ,Argentinian,Idealized perfect pairing example for contrast.,Excellent,1,train
Tempranillo,Red,citrus salad,Acidic,Korean,Acidic wine balances acidic food.,Neutral,0,train
Sauvignon Blanc,White,lemon tart,Dessert,Moroccan,Acidic wine balances acidic food.; Dry table wine clashes with dessert sweetness.,Poor,0,train
Chardonnay,White,roast chicken with herbs,Poultry,Ethiopian,Deliberately bad pairing example for contrast.,Terrible,0,train
Cabernet Sauvignon,Red,citrus salad,Acidic,French,Acidic wine balances acidic food.,Neutral,0,train
Tempranillo,Red,grilled ribeye,Red Meat,Chinese (Sichuan),Heuristic pairing assessment.,Poor,0,train
Barbera,Red,grilled ribeye,Red Meat,Italian,Idealized perfect pairing example for contrast.,Excellent,1,train
Cabernet Sauvignon,Red,gazpacho,Acidic,Korean,Acidic wine balances acidic food.,Neutral,0,train
Sauternes,Dessert,mushroom risotto,Vegetarian,German,Idealized perfect pairing example for contrast.,Excellent,1,train
Sangiovese,Red,roast lamb,Red Meat,Mexican,Idealized perfect pairing example for contrast.,Excellent,1,train
Grenache,Red,roast lamb,Red Meat,Thai,Delicate wine overwhelmed by red meat.,Neutral,0,train
Champagne,Sparkling,roast lamb,Red Meat,Korean,Delicate wine overwhelmed by red meat.,Neutral,0,train
Gamay (Beaujolais),Red,oysters,Seafood,Argentinian,Idealized perfect pairing example for contrast.,Excellent,1,train
Nebbiolo,Red,roast lamb,Red Meat,Middle Eastern,Deliberately bad pairing example for contrast.,Terrible,0,train
Zinfandel,Red,cheese platter,Cheese,German,Deliberately bad pairing example for contrast.,Terrible,0,train
Torrontés,White,beef stew,Red Meat,Italian,Heuristic pairing assessment.,Neutral,0,train
Cava,Sparkling,fish tacos,Seafood,Korean,Deliberately bad pairing example for contrast.,Terrible,0,train
Sauternes,Dessert,vegetable curry,Vegetarian,Thai,Heuristic pairing assessment.,Poor,0,train
Grenache,Red,cheese platter,Cheese,French,Heuristic pairing assessment.,Good,1,train
Grenache,Red,roast lamb,Red Meat,Spanish,Delicate wine overwhelmed by red meat.,Neutral,0,train
Riesling (dry),White,fondue,Cheese,French,Heuristic pairing assessment.,Good,1,train
Zinfandel,Red,mac and cheese,Cheese,Vietnamese,Heuristic pairing assessment.,Good,1,train
Port,Fortified,beef stew,Red Meat,Japanese,Heuristic pairing assessment.,Poor,0,train
Sauvignon Blanc,White,beef stew,Red Meat,Argentinian,Heuristic pairing assessment.,Poor,0,train
Grenache,Red,caprese salad,Acidic,French,Deliberately bad pairing example for contrast.,Terrible,0,train
Syrah/Shiraz,Red,beef stew,Red Meat,Greek,Idealized perfect pairing example for contrast.,Excellent,1,train
Tempranillo,Red,beef stew,Red Meat,Ethiopian,Heuristic pairing assessment.,Good,1,train
Cabernet Sauvignon,Red,citrus salad,Acidic,Spanish,Acidic wine balances acidic food.,Good,1,train
Grenache,Red,bacon burger,Pork,German,Deliberately bad pairing example for contrast.,Terrible,0,train
Ice Wine,Dessert,grilled ribeye,Red Meat,American BBQ,Deliberately bad pairing example for contrast.,Terrible,0,train
White Zinfandel,Rosé,fondue,Cheese,Vietnamese,Heuristic pairing assessment.,Neutral,0,train
Gewürztraminer,White,beef stew,Red Meat,Ethiopian,Heuristic pairing assessment.,Good,1,train
Nebbiolo,Red,shrimp scampi,Seafood,Italian,Idealized perfect pairing example for contrast.,Excellent,1,train
Pinot Noir,Red,beef stew,Red Meat,American BBQ,Deliberately bad pairing example for contrast.,Terrible,0,train
Sangiovese,Red,roast lamb,Red Meat,Korean,Tannic red complements red meat fat.,Excellent,1,train
Albariño,White,fondue,Cheese,Greek,Deliberately bad pairing example for contrast.,Terrible,0,train
Madeira,Fortified,gazpacho,Acidic,Chinese (Sichuan),Acidic wine balances acidic food.,Good,1,train
Cabernet Sauvignon,Red,cheese platter,Cheese,German,Heuristic pairing assessment.,Neutral,0,train
Sauvignon Blanc,White,carbonara,Creamy,Korean,Too lean for creamy dish.,Terrible,0,train
Sauvignon Blanc,White,stir-fried tofu,Vegetarian,Korean,Heuristic pairing assessment.,Good,1,train
Chardonnay,White,mac and cheese,Cheese,Korean,Deliberately bad pairing example for contrast.,Terrible,0,train
Zinfandel,Red,fondue,Cheese,Italian,Heuristic pairing assessment.,Good,1,train
Champagne,Sparkling,grilled ribeye,Red Meat,Japanese,Heuristic pairing assessment.,Neutral,0,train
Ice Wine,Dessert,oysters,Seafood,Ethiopian,Tannic reds clash with delicate seafood.,Neutral,0,train
Ice Wine,Dessert,smoked sausage,Smoky BBQ,Vietnamese,Deliberately bad pairing example for contrast.,Terrible,0,train
Port,Fortified,lemon tart,Dessert,Korean,Idealized perfect pairing example for contrast.,Excellent,1,train
Gewürztraminer,White,citrus salad,Acidic,Japanese,Low-acid wine seems flabby vs acids.,Poor,0,train
Cava,Sparkling,fish tacos,Seafood,Spanish,Crisp acidity suits seafood.,Neutral,0,train
Nebbiolo,Red,bbq brisket,Red Meat,French,Deliberately bad pairing example for contrast.,Terrible,0,train
Sauvignon Blanc,White,gazpacho,Acidic,Spanish,Acidic wine balances acidic food.,Good,1,train
Riesling (dry),White,Thai curry,Spicy,Japanese,Deliberately bad pairing example for contrast.,Terrible,0,train
Gewürztraminer,White,citrus salad,Acidic,French,Low-acid wine seems flabby vs acids.,Neutral,0,train
Albariño,White,cheesecake,Dessert,Korean,Dry table wine clashes with dessert sweetness.,Neutral,0,train
Barbera,Red,roast lamb,Red Meat,Moroccan,Delicate wine overwhelmed by red meat.,Neutral,0,train
Albariño,White,oysters,Seafood,American BBQ,Crisp acidity suits seafood.,Neutral,0,train
Port,Fortified,caprese salad,Acidic,Korean,Idealized perfect pairing example for contrast.,Excellent,1,train
Syrah/Shiraz,Red,bbq brisket,Red Meat,German,Deliberately bad pairing example for contrast.,Terrible,0,train
Champagne,Sparkling,fondue,Cheese,Greek,Heuristic pairing assessment.,Good,1,train
Ice Wine,Dessert,grilled burger,Smoky BBQ,Vietnamese,Deliberately bad pairing example for contrast.,Terrible,0,train
Ice Wine,Dessert,grilled burger,Smoky BBQ,Spanish,Idealized perfect pairing example for contrast.,Excellent,1,train
Syrah/Shiraz,Red,cheese platter,Cheese,Italian,Heuristic pairing assessment.,Neutral,0,train
Madeira,Fortified,roast lamb,Red Meat,American BBQ,Delicate wine overwhelmed by red meat.,Neutral,0,train
Ice Wine,Dessert,charcuterie board,Salty Snack,American BBQ,Deliberately bad pairing example for contrast.,Terrible,0,train
Sauternes,Dessert,mac and cheese,Cheese,Middle Eastern,Heuristic pairing assessment.,Neutral,0,train
Grüner Veltliner,White,mushroom risotto,Vegetarian,Spanish,Deliberately bad pairing example for contrast.,Terrible,0,train
White Zinfandel,Rosé,cheese platter,Cheese,German,Heuristic pairing assessment.,Poor,0,train
Ice Wine,Dessert,bacon burger,Pork,Spanish,Idealized perfect pairing example for contrast.,Excellent,1,train
Albariño,White,carbonara,Creamy,Argentinian,Idealized perfect pairing example for contrast.,Excellent,1,train
Merlot,Red,mac and cheese,Cheese,German,Heuristic pairing assessment.,Good,1,train
Sauvignon Blanc,White,vegetable curry,Vegetarian,Italian,Deliberately bad pairing example for contrast.,Terrible,0,train
Ice Wine,Dessert,fish tacos,Seafood,Korean,Tannic reds clash with delicate seafood.,Neutral,0,train
Syrah/Shiraz,Red,roast lamb,Red Meat,Spanish,Deliberately bad pairing example for contrast.,Terrible,0,train
Zinfandel,Red,bbq brisket,Red Meat,Japanese,Tannic red complements red meat fat.,Good,1,train
Ice Wine,Dessert,roast chicken with herbs,Poultry,Mexican,Heavy wine can dominate poultry.,Neutral,0,train
Merlot,Red,mixed nuts,Salty Snack,Indian,Deliberately bad pairing example for contrast.,Terrible,0,train
Gamay (Beaujolais),Red,bbq brisket,Red Meat,Indian,Delicate wine overwhelmed by red meat.,Neutral,0,train
Sangiovese,Red,bbq brisket,Red Meat,Indian,Tannic red complements red meat fat.,Good,1,train
Sauvignon Blanc,White,mac and cheese,Cheese,Greek,Deliberately bad pairing example for contrast.,Terrible,0,train
Nebbiolo,Red,cheese platter,Cheese,Indian,Heuristic pairing assessment.,Neutral,0,train
Chardonnay,White,caprese salad,Acidic,Indian,Heuristic pairing assessment.,Neutral,0,train
Zinfandel,Red,mac and cheese,Cheese,Argentinian,Idealized perfect pairing example for contrast.,Excellent,1,train
Sauvignon Blanc,White,fondue,Cheese,Thai,Heuristic pairing assessment.,Good,1,train
Provence Rosé,Rosé,cheese platter,Cheese,Vietnamese,Heuristic pairing assessment.,Good,1,train
Nebbiolo,Red,fish tacos,Seafood,Thai,Deliberately bad pairing example for contrast.,Terrible,0,train
Sangiovese,Red,stir-fried tofu,Vegetarian,Thai,Deliberately bad pairing example for contrast.,Terrible,0,train
Chardonnay,White,gazpacho,Acidic,Chinese (Sichuan),Idealized perfect pairing example for contrast.,Excellent,1,train
Ice Wine,Dessert,olives and cheese,Salty Snack,Middle Eastern,Deliberately bad pairing example for contrast.,Terrible,0,train
Provence Rosé,Rosé,caprese salad,Acidic,American BBQ,Heuristic pairing assessment.,Poor,0,train
Champagne,Sparkling,charcuterie board,Salty Snack,Vietnamese,Idealized perfect pairing example for contrast.,Excellent,1,train
Madeira,Fortified,caprese salad,Acidic,Japanese,Idealized perfect pairing example for contrast.,Excellent,1,train
Provence Rosé,Rosé,fondue,Cheese,American BBQ,Heuristic pairing assessment.,Good,1,train
Sauvignon Blanc,White,cream of mushroom soup,Creamy,Thai,Too lean for creamy dish.,Neutral,0,train
Sauternes,Dessert,roast lamb,Red Meat,French,Delicate wine overwhelmed by red meat.,Poor,0,train
Riesling (dry),White,fondue,Cheese,Thai,Heuristic pairing assessment.,Poor,0,train
Port,Fortified,citrus salad,Acidic,Spanish,Low-acid wine seems flabby vs acids.,Poor,0,train
Gamay (Beaujolais),Red,fondue,Cheese,Vietnamese,Heuristic pairing assessment.,Poor,0,train
Madeira,Fortified,fondue,Cheese,Moroccan,Idealized perfect pairing example for contrast.,Excellent,1,train
Chardonnay,White,citrus salad,Acidic,Greek,Acidic wine balances acidic food.,Neutral,0,train
Ice Wine,Dessert,citrus salad,Acidic,Moroccan,Acidic wine balances acidic food.,Excellent,1,train
Ice Wine,Dessert,olives and cheese,Salty Snack,Chinese (Sichuan),Heuristic pairing assessment.,Poor,0,train
Pinot Noir,Red,cheese platter,Cheese,Italian,Heuristic pairing assessment.,Good,1,train
Grüner Veltliner,White,vegetable curry,Vegetarian,Thai,Deliberately bad pairing example for contrast.,Terrible,0,train
Sauternes,Dessert,olives and cheese,Salty Snack,Italian,Heuristic pairing assessment.,Poor,0,train
White Zinfandel,Rosé,gazpacho,Acidic,French,Low-acid wine seems flabby vs acids.,Poor,0,train
Nebbiolo,Red,bacon burger,Pork,French,Heuristic pairing assessment.,Poor,0,train
Torrontés,White,grilled ribeye,Red Meat,Indian,Heuristic pairing assessment.,Good,1,train
Cava,Sparkling,mixed nuts,Salty Snack,Middle Eastern,Deliberately bad pairing example for contrast.,Terrible,0,train
Ice Wine,Dessert,duck à l’orange,Poultry,Mexican,Idealized perfect pairing example for contrast.,Excellent,1,train
Grüner Veltliner,White,gazpacho,Acidic,French,Acidic wine balances acidic food.,Good,1,train
Cabernet Sauvignon,Red,gazpacho,Acidic,Japanese,Acidic wine balances acidic food.,Good,1,train
Sauvignon Blanc,White,beef stew,Red Meat,Argentinian,Heuristic pairing assessment.,Neutral,0,train
Tempranillo,Red,fondue,Cheese,Moroccan,Heuristic pairing assessment.,Neutral,0,train
Merlot,Red,mixed nuts,Salty Snack,Thai,Deliberately bad pairing example for contrast.,Terrible,0,train
Albariño,White,sorbet,Dessert,Mexican,Dry table wine clashes with dessert sweetness.,Terrible,0,train
Sauvignon Blanc,White,cheese platter,Cheese,French,Idealized perfect pairing example for contrast.,Excellent,1,train
Grüner Veltliner,White,citrus salad,Acidic,Middle Eastern,Acidic wine balances acidic food.,Excellent,1,train
Ice Wine,Dessert,gazpacho,Acidic,Korean,Acidic wine balances acidic food.,Good,1,train
Viognier,White,mac and cheese,Cheese,Korean,Idealized perfect pairing example for contrast.,Excellent,1,train
White Zinfandel,Rosé,mac and cheese,Cheese,German,Heuristic pairing assessment.,Good,1,train
White Zinfandel,Rosé,cheese platter,Cheese,Japanese,Heuristic pairing assessment.,Neutral,0,train
Sauvignon Blanc,White,stir-fried tofu,Vegetarian,Ethiopian,Heuristic pairing assessment.,Poor,0,train
Zinfandel,Red,grilled burger,Smoky BBQ,Italian,Idealized perfect pairing example for contrast.,Excellent,1,train
Malbec,Red,gazpacho,Acidic,Argentinian,Acidic wine balances acidic food.,Good,1,train
Torrontés,White,Sichuan noodles,Spicy,French,Idealized perfect pairing example for contrast.,Excellent,1,train
Zinfandel,Red,bbq brisket,Red Meat,Chinese (Sichuan),Tannic red complements red meat fat.,Good,1,train
Sangiovese,Red,stir-fried tofu,Vegetarian,Spanish,Idealized perfect pairing example for contrast.,Excellent,1,train
Malbec,Red,citrus salad,Acidic,American BBQ,Acidic wine balances acidic food.,Good,1,train
Tempranillo,Red,roast lamb,Red Meat,Italian,Tannic red complements red meat fat.,Neutral,0,train
Gewürztraminer,White,Indian vindaloo,Spicy,Middle Eastern,Deliberately bad pairing example for contrast.,Terrible,0,train
Riesling (dry),White,citrus salad,Acidic,Vietnamese,Acidic wine balances acidic food.,Excellent,1,train
Torrontés,White,Indian vindaloo,Spicy,Greek,Idealized perfect pairing example for contrast.,Excellent,1,train
Barbera,Red,bbq brisket,Red Meat,Chinese (Sichuan),Delicate wine overwhelmed by red meat.,Neutral,0,train
Zinfandel,Red,caprese salad,Acidic,Thai,Heuristic pairing assessment.,Good,1,train
Zinfandel,Red,smoked sausage,Smoky BBQ,French,Idealized perfect pairing example for contrast.,Excellent,1,train
Syrah/Shiraz,Red,gazpacho,Acidic,Indian,Idealized perfect pairing example for contrast.,Excellent,1,train
Grenache,Red,cheese platter,Cheese,Thai,Heuristic pairing assessment.,Neutral,0,train
Ice Wine,Dessert,vegetable curry,Vegetarian,Korean,Idealized perfect pairing example for contrast.,Excellent,1,train
Provence Rosé,Rosé,cheese platter,Cheese,Argentinian,Heuristic pairing assessment.,Neutral,0,train
Barbera,Red,mac and cheese,Cheese,Middle Eastern,Heuristic pairing assessment.,Poor,0,train
Viognier,White,duck à l’orange,Poultry,American BBQ,Idealized perfect pairing example for contrast.,Excellent,1,train
Gewürztraminer,White,bbq brisket,Red Meat,Mexican,Delicate wine overwhelmed by red meat.,Neutral,0,train
Sauternes,Dessert,shrimp scampi,Seafood,Indian,Tannic reds clash with delicate seafood.,Neutral,0,train
Provence Rosé,Rosé,grilled ribeye,Red Meat,Chinese (Sichuan),Heuristic pairing assessment.,Good,1,train
Sangiovese,Red,duck à l’orange,Poultry,Mexican,Deliberately bad pairing example for contrast.,Terrible,0,train
Grenache,Red,fondue,Cheese,Indian,Heuristic pairing assessment.,Good,1,train
Albariño,White,gazpacho,Acidic,American BBQ,Acidic wine balances acidic food.,Good,1,train
Gewürztraminer,White,mac and cheese,Cheese,Chinese (Sichuan),Heuristic pairing assessment.,Poor,0,train
Riesling (dry),White,beef stew,Red Meat,Chinese (Sichuan),Heuristic pairing assessment.,Poor,0,train
Sauternes,Dessert,stir-fried tofu,Vegetarian,Korean,Heuristic pairing assessment.,Poor,0,train
Cava,Sparkling,grilled ribeye,Red Meat,French,Heuristic pairing assessment.,Good,1,train
Sauvignon Blanc,White,oysters,Seafood,Italian,Deliberately bad pairing example for contrast.,Terrible,0,train
Sauternes,Dessert,bbq brisket,Red Meat,American BBQ,Delicate wine overwhelmed by red meat.,Neutral,0,train
Sauvignon Blanc,White,fish tacos,Seafood,Moroccan,Deliberately bad pairing example for contrast.,Terrible,0,train
Nebbiolo,Red,bacon burger,Pork,Moroccan,Deliberately bad pairing example for contrast.,Terrible,0,train
Viognier,White,roast chicken with herbs,Poultry,American BBQ,Deliberately bad pairing example for contrast.,Terrible,0,train
Grenache,Red,mac and cheese,Cheese,Vietnamese,Heuristic pairing assessment.,Neutral,0,train
Ice Wine,Dessert,pork tenderloin,Pork,Italian,Deliberately bad pairing example for contrast.,Terrible,0,train
Pinot Noir,Red,cheese platter,Cheese,Italian,Heuristic pairing assessment.,Poor,0,train
Albariño,White,grilled salmon,Seafood,American BBQ,Crisp acidity suits seafood.,Excellent,1,train
Grenache,Red,mixed nuts,Salty Snack,Ethiopian,Deliberately bad pairing example for contrast.,Terrible,0,train
Nebbiolo,Red,gazpacho,Acidic,French,Acidic wine balances acidic food.,Good,1,train
Chenin Blanc,White,cheese platter,Cheese,Ethiopian,Heuristic pairing assessment.,Neutral,0,train
Ice Wine,Dessert,shrimp scampi,Seafood,German,Idealized perfect pairing example for contrast.,Excellent,1,train
Tempranillo,Red,beef stew,Red Meat,Japanese,Heuristic pairing assessment.,Neutral,0,train
Provence Rosé,Rosé,citrus salad,Acidic,Italian,Acidic wine balances acidic food.,Good,1,train
Sauvignon Blanc,White,mac and cheese,Cheese,German,Heuristic pairing assessment.,Poor,0,train
Zinfandel,Red,beef stew,Red Meat,Argentinian,Deliberately bad pairing example for contrast.,Terrible,0,train
Nebbiolo,Red,oysters,Seafood,Ethiopian,Tannic reds clash with delicate seafood.,Neutral,0,train
Malbec,Red,grilled ribeye,Red Meat,Vietnamese,Idealized perfect pairing example for contrast.,Excellent,1,train
Cabernet Sauvignon,Red,gazpacho,Acidic,Thai,Acidic wine balances acidic food.,Excellent,1,train
Sauvignon Blanc,White,beef stew,Red Meat,Ethiopian,Heuristic pairing assessment.,Good,1,train
Nebbiolo,Red,fish tacos,Seafood,Korean,Tannic reds clash with delicate seafood.,Neutral,0,train
Champagne,Sparkling,bbq brisket,Red Meat,Indian,Delicate wine overwhelmed by red meat.,Poor,0,train
Gamay (Beaujolais),Red,citrus salad,Acidic,Argentinian,Acidic wine balances acidic food.,Good,1,train
Grenache,Red,citrus salad,Acidic,Korean,Acidic wine balances acidic food.,Neutral,0,train
Albariño,White,cream of mushroom soup,Creamy,Thai,Idealized perfect pairing example for contrast.,Excellent,1,train
Merlot,Red,beef stew,Red Meat,Korean,Deliberately bad pairing example for contrast.,Terrible,0,train
Merlot,Red,caprese salad,Acidic,American BBQ,Heuristic pairing assessment.,Neutral,0,train
Madeira,Fortified,fondue,Cheese,Chinese (Sichuan),Deliberately bad pairing example for contrast.,Terrible,0,train
Malbec,Red,cheese platter,Cheese,Italian,Deliberately bad pairing example for contrast.,Terrible,0,train
Albariño,White,carbonara,Creamy,Ethiopian,Idealized perfect pairing example for contrast.,Excellent,1,train
Zinfandel,Red,fondue,Cheese,Middle Eastern,Heuristic pairing assessment.,Good,1,train
Tempranillo,Red,cheese platter,Cheese,Moroccan,Deliberately bad pairing example for contrast.,Terrible,0,train
Merlot,Red,bbq brisket,Red Meat,Chinese (Sichuan),Tannic red complements red meat fat.,Neutral,0,train
Barbera,Red,gazpacho,Acidic,Vietnamese,Acidic wine balances acidic food.,Good,1,train
White Zinfandel,Rosé,cheese platter,Cheese,Greek,Heuristic pairing assessment.,Neutral,0,train
Champagne,Sparkling,olives and cheese,Salty Snack,Vietnamese,Idealized perfect pairing example for contrast.,Excellent,1,train
Cava,Sparkling,shrimp scampi,Seafood,Middle Eastern,Deliberately bad pairing example for contrast.,Terrible,0,train
Viognier,White,duck à l’orange,Poultry,Korean,Idealized perfect pairing example for contrast.,Excellent,1,train
Cava,Sparkling,beef stew,Red Meat,American BBQ,Heuristic pairing assessment.,Poor,0,train
Albariño,White,cheesecake,Dessert,Italian,Idealized perfect pairing example for contrast.,Excellent,1,train
Ice Wine,Dessert,olives and cheese,Salty Snack,Middle Eastern,Heuristic pairing assessment.,Poor,0,train
Ice Wine,Dessert,citrus salad,Acidic,Moroccan,Acidic wine balances acidic food.,Good,1,train
Port,Fortified,bbq brisket,Red Meat,Argentinian,Delicate wine overwhelmed by red meat.,Terrible,0,train
Gewürztraminer,White,bbq brisket,Red Meat,American BBQ,Delicate wine overwhelmed by red meat.,Poor,0,train
Sauternes,Dessert,caprese salad,Acidic,Italian,Idealized perfect pairing example for contrast.,Excellent,1,train
Chenin Blanc,White,roast lamb,Red Meat,Argentinian,Delicate wine overwhelmed by red meat.,Neutral,0,train
Riesling (dry),White,citrus salad,Acidic,Greek,Acidic wine balances acidic food.,Good,1,train
Chenin Blanc,White,roast lamb,Red Meat,Vietnamese,Deliberately bad pairing example for contrast.,Terrible,0,train
Nebbiolo,Red,bbq brisket,Red Meat,Greek,Deliberately bad pairing example for contrast.,Terrible,0,train
Grenache,Red,caprese salad,Acidic,Spanish,Heuristic pairing assessment.,Neutral,0,train
Sauvignon Blanc,White,mac and cheese,Cheese,Greek,Heuristic pairing assessment.,Neutral,0,train
Ice Wine,Dessert,pork tenderloin,Pork,Italian,Idealized perfect pairing example for contrast.,Excellent,1,train
Merlot,Red,beef stew,Red Meat,Moroccan,Heuristic pairing assessment.,Poor,0,train
Zinfandel,Red,fondue,Cheese,Moroccan,Heuristic pairing assessment.,Neutral,0,train
Grüner Veltliner,White,bbq brisket,Red Meat,American BBQ,Delicate wine overwhelmed by red meat.,Neutral,0,train
